"","Env","TotGen","Plots","RepPct","TotGenAll","TotPlots","Year","Loc","GY_Pheno_m","HD_Pheno_m","HT_Pheno_m","MAT_Pheno_m","TW_Pheno_m","GY_Pheno_min","HD_Pheno_min","HT_Pheno_min","MAT_Pheno_min","TW_Pheno_min","GY_Pheno_max","HD_Pheno_max","HT_Pheno_max","MAT_Pheno_max","TW_Pheno_max","GY_Pheno_na","HD_Pheno_na","HT_Pheno_na","MAT_Pheno_na","TW_Pheno_na","GY_Pheno_mAll","HD_Pheno_mAll","HT_Pheno_mAll","MAT_Pheno_mAll","TW_Pheno_mAll","GY_naALL","HD_naALL","HT_naALL","MAT_naALL","TW_naALL"
"1","22-Adv",486,684,0.407407407407407,2995,38792,"2022","Addieville, IL",4801.7659443631,NA,NA,NA,750.027393850659,2807.99,NA,NA,NA,683.73,6605.16,NA,NA,NA,792.74,1,NA,NA,NA,1,6526.36878557004,NA,NA,NA,766.940331980819,22,NA,NA,NA,72
"2","22-Neo",597,840,0.407035175879397,2995,38792,"2022","Neoga, IL",6782.32669047619,132.536904761905,101.25,NA,788.55319047619,3803.64,130,77.5,NA,716.41,8362.53,138,115,NA,829.64,0,0,0,NA,0,6526.36878557004,128.69637440416,100.184401422363,NA,766.940331980819,22,3,17,NA,72
"3","22-Stp",486,666,0.37037037037037,2995,38792,"2022","St Peter, IL",6240.86178678679,NA,NA,NA,790.258588588589,4145.79,NA,NA,NA,722.02,7844.79,NA,NA,NA,822.09,0,NA,NA,NA,0,6526.36878557004,NA,NA,NA,766.940331980819,22,NA,NA,NA,72
"4","22-Urb",1337,1598,0.195213163799551,2995,38792,"2022","Urbana, IL",6754.62273809524,134.346057571965,99.6496996245307,NA,794.590526315789,4074.58,131,71.12,NA,716.31,8429.86,139,116.84,NA,835.7,2,0,0,NA,2,6526.36878557004,128.69637440416,100.184401422363,NA,766.940331980819,22,3,17,NA,72
"5","23-Adv",507,676,0.333333333333333,2995,38792,"2023","Addieville, IL",6573.3648816568,NA,NA,NA,771.169097633136,4774.41,NA,NA,NA,698.06,8948.5,NA,NA,NA,890.08,0,NA,NA,NA,0,6526.36878557004,NA,NA,NA,766.940331980819,22,NA,NA,NA,72
"6","23-Neo",860,1032,0.2,2995,38792,"2023","Neoga, IL",8442.64323643411,127.916666666667,107.086003898635,NA,799.605213178295,6423.86,121,86.36,NA,715.5,10141.81,133,127,NA,856.97,0,0,6,NA,0,6526.36878557004,128.69637440416,100.184401422363,NA,766.940331980819,22,3,17,NA,72
"7","23-Stp",508,684,0.346456692913386,2995,38792,"2023","St Peter, IL",6098.23040059347,NA,88.1538278931751,NA,823.690178041543,4264.22,NA,71.12,NA,754.76,8376.36,NA,104.14,NA,883.16,10,NA,10,NA,10,6526.36878557004,NA,100.184401422363,NA,766.940331980819,22,NA,17,NA,72
"8","23-Urb",1037,1296,0.249758919961427,2995,38792,"2023","Urbana, IL",6915.46287037037,131.235339506173,100.582824074074,166.489969135802,781.500555555556,4256.4,126,76.2,160,693.45,9579.79,136,124.46,174,840.67,0,0,0,0,0,6526.36878557004,128.69637440416,100.184401422363,165.268262484523,766.940331980819,22,3,17,1,72
"9","24-Adv",540,650,0.203703703703704,2995,38792,"2024","Addieville, IL",5903.98713405239,NA,NA,NA,721.245377503852,3666.71,NA,NA,NA,629.77,7214.12,NA,NA,NA,770.06,1,NA,NA,NA,1,6526.36878557004,NA,NA,NA,766.940331980819,22,NA,NA,NA,72
"10","24-Neo",858,1032,0.202797202797203,2995,38792,"2024","Neoga, IL",6882.73255360624,119.403883495146,99.2298255813953,NA,721.040653658537,3138.61,111,81.28,NA,543.35,8990.07,126,124.46,NA,777.75,6,2,0,NA,7,6526.36878557004,128.69637440416,100.184401422363,NA,766.940331980819,22,3,17,NA,72
"11","24-Stp",513,630,0.228070175438597,2995,38792,"2024","St Peter, IL",6472.74150793651,NA,NA,NA,730.743116057234,4053.32,NA,NA,NA,604.28,8447.57,NA,NA,NA,793.14,0,NA,NA,NA,1,6526.36878557004,NA,NA,NA,766.940331980819,22,NA,NA,NA,72
"12","24-Urb",927,1128,0.216828478964401,2995,38792,"2024","Urbana, IL",5314.79671403197,124.110026619343,101.476042590949,163.863354037267,710.836493506494,1176.79,120,73.66,158,531.2,7892.87,134,124.46,171,794.75,2,1,1,1,50,6526.36878557004,128.69637440416,100.184401422363,165.268262484523,766.940331980819,22,3,17,1,72
